case,replica,ensemble,time_fs,temperature_k,potential_energy_ev_per_atom,total_energy_ev_per_atom,max_force_ev_per_angstrom,nearest_neighbor_distance_angstrom,rms_displacement_angstrom
ambient_fcc,2,nvt,60,327.755447473,-3.70726370811,-3.6662219804,0.920354952343,2.68729307966,0.220010986817
ambient_fcc,2,nvt,65,307.614404553,-3.70657753944,-3.66805788484,0.958370204042,2.68774471388,0.233767910115
ambient_fcc,2,nvt,70,310.690069195,-3.70613002777,-3.66722523665,0.949867585776,2.688813368,0.244890393334
ambient_fcc,2,nvt,75,297.122996547,-3.70523524284,-3.66802932845,0.899297512291,2.68867722601,0.254979108839
ambient_fcc,2,nvt,80,310.004656297,-3.70411896706,-3.66530000374,1.08977834317,2.68675672372,0.263378501971
ambient_fcc,2,nvt,85,274.896728505,-3.70294117928,-3.66851845109,1.35894020264,2.68608928294,0.269908042234
ambient_fcc,2,nvt,90,255.140061753,-3.70220208168,-3.67025329479,1.53944836414,2.68756919797,0.274533013169
ambient_fcc,2,nvt,95,242.262293406,-3.7024679184,-3.67213169315,1.5153649801,2.68823997871,0.277360904967
ambient_fcc,2,nvt,100,206.783112606,-3.70358228683,-3.67768878524,1.29157236206,2.68711417683,0.279718335423
ambient_fcc,2,nvt,105,207.405904196,-3.70530295372,-3.6793314658,1.06988418144,2.68718687297,0.280358089053
ambient_fcc,2,nvt,110,214.129755183,-3.70701646805,-3.6802030156,1.03728322472,2.69084858578,0.279913602029
ambient_fcc,2,nvt,115,236.584594992,-3.70893669128,-3.67931143073,0.917800897052,2.6989324551,0.277846731575
ambient_fcc,2,nvt,120,256.715430881,-3.71075296402,-3.67860690849,0.893766060143,2.70643047247,0.274874761622
ambient_fcc,2,nve,5,247.74368703,-3.73869466782,-3.70767205927,0.137782106878,2.83006906985,0
ambient_fcc,2,nve,10,224.090391169,-3.73573231697,-3.70767158789,0.275772275618,2.79781732197,0.0230405779488
ambient_fcc,2,nve,15,187.392473662,-3.73113679886,-3.70767140434,0.417107332627,2.76830230302,0.0445374873072
ambient_fcc,2,nve,20,142.718371527,-3.72554254532,-3.70767126785,0.562272049955,2.74283620271,0.0637241481496
ambient_fcc,2,nve,25,97.8570560927,-3.71992373466,-3.7076700172,0.689243557558,2.72269927082,0.079907363902
ambient_fcc,2,nve,30,61.7563714763,-3.71540284157,-3.70766967282,0.767222122984,2.70886525153,0.0925700832562
ambient_fcc,2,nve,35,41.4768698188,-3.71286273003,-3.70766897227,0.79785767279,2.7020302258,0.101478453074
