case,integrator,time_fs,volume_angstrom3,volume_ratio,pressure_pa,temperature_k,total_energy_ev_per_atom
flexible_tau_1000fs,baoab_npt_langevin,920,11096.6679688,1.09952464837,-14358681.2176,106.697705687,-0.0512669794261
flexible_tau_1000fs,baoab_npt_langevin,940,11094.5410156,1.09931389706,-13182890.984,104.28591683,-0.0515286689624
flexible_tau_1000fs,baoab_npt_langevin,960,11088.0800781,1.09867370848,-10820609.8292,102.497181927,-0.0517137181014
flexible_tau_1000fs,baoab_npt_langevin,980,11083.9521484,1.09826468837,-7838131.86198,97.7290112188,-0.0522209480405
flexible_tau_1000fs,baoab_npt_langevin,1000,11088.6308594,1.0987282832,-6793141.50006,91.456048431,-0.0529374061152
flexible_tau_1000fs,baoab_npt_langevin,1020,11100.4169922,1.09989612418,-5216833.19268,95.2270376944,-0.0522681334987
flexible_tau_1000fs,baoab_npt_langevin,1040,11117.3769531,1.10157661918,-4785514.22439,92.3164917496,-0.052463282831
flexible_tau_1000fs,baoab_npt_langevin,1060,11118.8085938,1.10171847475,-546366.516203,94.6627686934,-0.0519250640646
flexible_tau_1000fs,baoab_npt_langevin,1080,11112.4228516,1.10108573698,4053062.87252,92.6843479772,-0.0519839422777
flexible_tau_1000fs,baoab_npt_langevin,1100,11107.0625,1.10055460109,6693602.02966,93.4442340896,-0.0517940726131
flexible_tau_1000fs,baoab_npt_langevin,1120,11099.0634766,1.0997620097,7821740.09516,92.3330487518,-0.051954750903
flexible_tau_1000fs,baoab_npt_langevin,1140,11090.9785156,1.09896090311,7041332.55624,98.0583357073,-0.0513413464651
flexible_tau_1000fs,baoab_npt_langevin,1160,11084.4638672,1.09831539254,5099957.76927,95.0412578582,-0.0518942875788
flexible_tau_1000fs,baoab_npt_langevin,1180,11083.2236328,1.09819250265,4152459.43086,96.3079010779,-0.0517938956618
flexible_tau_1000fs,baoab_npt_langevin,1200,11081.1044922,1.09798252545,3568147.49795,94.8467474403,-0.0520230289549
flexible_tau_1000fs,baoab_npt_langevin,1220,11079.0380859,1.09777777348,3536709.95331,98.2987558208,-0.0515879048035
