true_x,true_pmf,dense_windows_x,dense_windows_pmf,dense_windows_replica_pmf,dense_windows_replica_abs_difference,sparse_windows_x,sparse_windows_pmf,sparse_windows_replica_pmf,sparse_windows_replica_abs_difference,pair_distance_umbrella_x,pair_distance_umbrella_pmf,pair_distance_umbrella_replica_pmf,pair_distance_umbrella_replica_abs_difference,pair_distance_umbrella_true_pmf,pair_distance_umbrella_interaction_pmf,pair_distance_umbrella_true_interaction_pmf
-1.48,1.41705216,-1.48,1.41398780004,1.41477759829,0.000789798256006,-1.48,1.53135769214,1.63385260247,0.102494910327,5.55,0.00424995343755,0.00574024602743,0.00183824182902,0.00576103004875,0.00723698278006,0.00822186868559
-1.44,1.15261696,-1.44,1.17172587904,1.15694180695,0.0147840720922,-1.44,1.24330552425,1.35722940657,0.113923882322,5.65,0.00794390123293,0.00829853794652,0.00022637499657,0.00565440036708,0.0112387005518,0.00842300898026
-1.4,0.9216,-1.4,0.899240756508,0.914388366,0.0151476094916,-1.4,1.00771552843,1.1697770713,0.162061542862,5.75,0.00960882582359,0.00811353669377,0.00422172153947,0.00553174478416,0.013205995366,0.00860272362094
-1.36,0.72182016,-1.36,0.73422528137,0.733216899514,0.00100838185558,-1.36,0.78014510974,0.914194788007,0.134049678268,5.85,0.00758090953891,0.00626633096787,0.00378235822234,0.00539527907276,0.0114752357647,0.00876341459286
-1.32,0.55115776,-1.32,0.556100448865,0.5613584402,0.00525799133453,-1.32,0.638567488328,0.816003883083,0.177436394755,5.95,0.00928740564257,0.00758072579234,0.00474819071491,0.00524696636995,0.0134738517545,0.00890722177616
-1.28,0.40755456,-1.28,0.410709418151,0.426826230377,0.016116812226,-1.28,0.511850918072,0.64659739852,0.134746480448,6.05,0.00837323048551,0.00689646954852,0.00417177157369,0.00508853875015,0.0128469275914,0.00903604515039
-1.24,0.28901376,-1.24,0.256536733517,0.316005894757,0.0594691612409,-1.24,0.319361067918,0.536092778939,0.216731711021,6.15,0.00843624133818,0.00623787347293,0.00605751890632,0.00492151960361,0.0131924801927,0.0091515677525
-1.2,0.1936,-1.2,0.19032148719,0.194941816554,0.00462032936427,-1.2,0.339780329348,0.412524478373,0.0727441490252,6.25,0.00955113474694,0.0101025567412,0.000142658280263,0.00474724554861,0.0145853580259,0.00925527812195
-1.16,0.11943936,-1.16,0.113676042586,0.113729806135,5.37635496947e-05,-1.16,0.177951471769,0.320348858468,0.1423973867,6.35,0.0090728759956,0.0107880695691,0.00221257962969,0.00456688714634,0.0143806710611,0.00934849150615
-1.12,0.06471936,-1.12,0.0371944800205,0.0642950555929,0.0271005755723,-1.12,0.148933559711,0.319221572459,0.170288012748,6.45,0.0064827620772,0.00920110710886,0.00384720734896,0.00438146803687,0.0120598541947,0.00943236944867
-1.08,0.02768896,-1.08,0.0207174287838,0.0355618979672,0.0148444691834,-1.08,0.149883495835,0.281053538174,0.131170042339,6.55,0.00558432739623,0.00611446945925,0.000103931532271,0.00419188233729,0.0114265733694,0.0095079376048
-1.04,0.00665856,-1.04,0,0.0271547416464,0.0271547416464,-1.04,0.0780475854418,0.195629336303,0.117581750861,6.65,0.00416596658795,0.00463043713644,1.91438239001e-05,0.00399891028177,0.0102693487793,0.0095761017674
-1,0,-1,0.00803497626235,0,0.00803497626235,-1,0.102102929624,0.23207606892,0.129973139296,6.75,0.00524465739016,0.00415128072012,0.00326968620295,0.00380323216572,0.0116052780983,0.00963766216818
-0.96,0.00614656,-0.96,0.0169590702955,0.000798888705062,0.0161601815904,-0.96,0.0956694131153,0.303819756053,0.208150342938,6.85,0.00623664590479,0.00525930139623,0.00300777096991,0.00360544070314,0.012850722073,0.0096933261657
-0.92,0.02359296,-0.92,0.0407073405837,0.0137589516834,0.0269483889003,-0.92,0.134444203363,0.309781946643,0.175337743279,6.95,0.00595348825205,0.00349222296482,0.00687869999181,0.00340605192862,0.0128173464833,0.00974371945419
-0.88,0.05089536,-0.88,0.0728284624445,0.0735481753219,0.000719712877322,-0.88,0.129228387441,0.288082409012,0.158854021571,7.05,0.00894499143921,0.00927047619247,0.00028004827997,0.00320551478364,0.016055063296,0.00978939593478
-0.84,0.08667136,-0.84,0.105976299946,0.11667594919,0.0106996492439,-0.84,0.195577868508,0.329634559859,0.134056691351,7.15,0.010530819187,0.0112246393521,0.000424067832368,0.00300421952568,0.0178836367564,0.00983084638936
-0.8,0.1296,-0.8,0.166920083173,0.17863082682,0.0117107436468,-0.8,0.264442702384,0.424685333602,0.160242631218,7.25,0.00864171851268,0.00837165999131,0.00147993813098,0.00280250509176,0.0162339102172,0.00986850609061
-0.76,0.17842176,-0.76,0.227293812422,0.190517126441,0.0367766859813,-0.76,0.235780816557,0.438591836127,0.20281101957,7.35,0.00861238175661,0.0116331165458,0.00439019198185,0.00260066553867,0.0164406683953,0.00990276147166
-0.72,0.23193856,-0.72,0.258846205209,0.284378323119,0.0255321179105,-0.72,0.35840150709,0.447662911094,0.0892614040047,7.45,0.00504149721188,0.00402166167963,0.00314967325741,0.00239895567112,0.0131026882148,0.00993395596839
